ほうか 暴力
ほしぶどう 食べ物
ほしにく 食べ物
ほししいたけ 食べ物
ほいこーろー 食べ物
ほっかいどう 地名
ほーむ 地名 感情
ほり 地名
ほうどう 社会
ほけんしょう 社会 医療
ほいく 社会
ほうりつ 社会
ほぐわーつ 社会 物語
ほうげんふだ 社会
ほらがい 動物 芸術
ほうおう 物語 動物
ほえるおー 物語 動物
ほえるこ 物語 動物
ほいーが 物語 動物
ほしがりす 物語 動物
ほーす 動物
ほととぎす 動物
ほたて 食べ物 動物
ほるーど 物語 動物
ほーほー 物語 動物
ほるびー 物語 動物
ほわいときゅれむ 物語 動物
ほしい 感情
ほんとう 感情
ほんぽう 感情
ほしさ 感情
ほっと 感情
ほーぷ 感情
ほこり 感情
ほっこり 感情
ほれ 感情
ほれぼれ 感情
ほうれんそう 食べ物 植物
ほうせんか 植物
ほおずき 植物
ほうが 植物
ほくとしちせい 理科
ほのお 理科
ほし 理科
ほっぴんぐ 遊び
ほーむしあたー 遊び
ほんひま 遊び 人物
ほしかわさら 遊び 人物
ほんまひまわり 遊び 人物
ほしかわ 遊び 人物
ほむら 人物
ほい 服飾
ほうき 工作
ほんだな 工作
ほ 工作
ほうかごてぃーたいむ 芸術 物語
ほと 人体
ほほ 人体
ほくろ 人体
ほうかご 時間
ほうたい 医療
ほちょうき 医療
ほすぴす 医療
ほてる 医療
ほいみ 医療 物語
ほらー 物語
ほうけい 暴言
ほらふき 暴言
ほら 暴言
ほも 数学
ほうじゃく 虫
ほたる 虫
ほうり 宗教
ほうがんなげ スポーツ
ほりゅう ノーマル
ほぞ ノーマル
ほち ノーマル
ほる ノーマル
ほーる ノーマル
