ようふく 服飾
よくばり 感情
よろ 感情
ようもう 工作 服飾
よろい 暴力 服飾
よーぐる 食べ物
よろこび 感情
よは 感情
よせがき 社会 感情
よさげ 感情
よた 感情
よゆう 感情
よいよい 感情
よすが 感情
よこしま 感情
よーぐると 食べ物
よくぼう 感情
よし 感情
よもぎ 食べ物 植物
ようき 感情
よね 食べ物
よりょく 感情
よしのや 食べ物
ようしょく 食べ物
よさのあきこ 人物
よーぷ 食べ物
よーぎらす 物語 動物
よみもの ノーマル
ようがし 食べ物
ようなし 食べ物 植物
よくよく ノーマル
よっちゃんいか 食べ物
ようめいしゅ 食べ物 医療
よせなべ 食べ物
ようす ノーマル
ようりょう 機械
よっくもっく 食べ物
よーどらんひかり 食べ物
よしぷ ノーマル
よういくひ 社会
よてい 時間
よが スポーツ
ようか ノーマル
よっかいち 地名
よなおし 暴力
よこすか 地名
よなぐに 地名
よろず ノーマル
よこづな スポーツ
よりとも 社会 人物
よけい ノーマル
よず ノーマル
ようじょ 人物
よみかき 社会
よみ 遊び
よちむ 宗教
ようきゅう 社会
よろんちょうさ 社会
よめい 医療
よーよー 遊び
ようしょう 時間
よーた 人物
ようじょう 工作
ようこう 天気
よはね 宗教
ようしき 社会
よせい 時間
よつや 地名
よじじゅくご 遊び
よしもと 社会
よーご ノーマル
よかぜ 時間 天気
よう ノーマル
よび ノーマル
よぼう 医療
よいこ 人物
よごれ 暴言
ようび 時間
よみのくに 地名 宗教
よめ 人物
よーどちんき 医療
ようしょ ノーマル
よすみ ノーマル
ようふう 工作
よこべっぷ 地名
よみうり 社会
よそう ノーマル
よき ノーマル
ようご 医療
よんく 機械
よそ 地名
よーくしゃー 地名
よど 地名
よぞ ノーマル
ようすい 医療
よそく ノーマル
ようがく 芸術
よくよう ノーマル
よろずや 社会
よなぐにじま 地名
よわし 物語 動物
よんわ 物語
よーでる 芸術
よぞー ノーマル
ようず 遊び
よやく ノーマル
よなか 時間
よの 人物
よーく 地名
よいち 人物
よーだ 物語 人物
よびこう 社会
よつば 物語 人物
ようそ 理科
ようじ 人物
よい 時間
よわい 暴言
ようつべ 遊び
よぶ ノーマル
ようやく ノーマル
よぞら 天気 時間
よしわら 地名 遊び
ようせい 物語 動物
ようい ノーマル
よむ ノーマル
よふかし 時間 遊び
よっぱらい 人物
よ 人物
よっかいちぜんそく 医療
ようちゅう 虫
よつゆ 天気
よさこい 芸術
よみうりじゃいあんつ スポーツ 社会
よあけ 時間 天気
ようじんぼう 人物 暴力
よこう ノーマル
ようちえんばす 社会 機械
よる 時間
よきょう 遊び
よどがわ 地名
ようち ノーマル
よまいごと 暴言
よしあし ノーマル
よざくら 植物
よしき 数学
よくせい ノーマル
よなべ 時間
ようこそじつりょくしじょうしゅぎのきょうしつへ 物語
よっと ノーマル
よだれ 人体
よこ ノーマル
よるむんがんど 物語
よすてびと 暴言
ようかいうぉっち 物語
よまわる 物語 動物
よめいり 社会
ようたい 人体
よみち 天気 時間
よーくしゃーてりあ 動物
ようきひ 社会 人物
よだか 動物
ようかい 物語
よま ノーマル
よんさま 人物 芸術
よせ 遊び
よげんしゃ 宗教
よしいくぞう 人物
よあそび 芸術
よー ノーマル
よるのずく 物語 動物
ようが 芸術
よしず 工作
よりめ 人体 遊び
よりみち ノーマル
よっか 時間
よか 時間
よこはま 地名
